,第01章 风雪惊变,第02章 江南七怪,第03章 大漠风沙,第04章 黑风双煞,第05章 弯弓射雕,第06章 崖顶疑阵,第07章 比武招亲,第08章 各显神通,第09章 铁枪破犁,第10章 冤家聚头,第11章 长春服输,第12章 亢龙有悔,第13章 五湖废人,第14章 桃花岛主,第15章 神龙摆尾,第16章 九阴真经,第17章 双手互搏,第18章 三道试题,第19章 洪涛群鲨,第20章 窜改经文,第21章 千钧巨岩,第22章 骑鲨遨游,第23章 大闹禁宫,第24章 密室疗伤,第25章 荒村野店,第26章 新盟旧约,第27章 轩辕台前,第28章 铁掌峰顶,第29章 黑沼隐女,第30章 一灯大师,第31章 鸯鸳锦帕,第32章 湍江险滩,第33章 来日大难,第34章 岛上巨变,第35章 铁枪庙中,第36章 大军西征,第37章 从天而降,第38章 锦囊密令,第39章 是非善恶,第40章 华山论剑,附录一 成吉思汗家族,附录二 关于“全真教”,后记
冯蘅,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鲁有脚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,45,15,0,0,0,0,1,0,0,21,46,2,1,1,0,0,0
尹志平,0,0,0,0,14,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,23,0,1,0,0,0,0,0,0,13,2,0,0,1,0,0,0,2,0
一灯大师,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,28,6,3,0,1,1,4,1,7,0,0,0,2
南希仁,0,15,1,21,11,7,5,0,0,0,6,1,0,6,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,9,4,0,0,0,0,0,0,0
段天德,17,54,28,6,0,1,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
江南七怪,0,20,14,12,2,2,4,4,0,4,12,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,1,0,0,0,0,0,0
渔人,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,17,12,0,0,0,0,0,0,0,3,0,0,0,0
郭啸天,67,6,2,0,0,0,0,0,2,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
灵智上人,0,0,0,0,0,0,6,11,4,0,0,0,0,0,0,0,0,0,0,0,0,37,11,6,0,1,0,0,0,0,0,0,11,0,6,0,0,0,5,1,0,0,0
李萍,4,11,23,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,25,0,0,0,0,0
桑昆,0,0,2,21,8,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
王罕,0,0,11,13,14,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
窝阔台,0,0,12,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,49,0,0
察合台,0,0,7,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,1,0,0,38,1,0
札木合,0,0,19,5,2,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0
简长老,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,47,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
张阿生,0,21,3,33,5,4,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
陈玄风,0,0,0,45,3,4,0,0,0,4,1,1,1,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
陆乘风,0,0,0,0,0,0,0,0,0,1,0,0,0,40,7,1,1,0,1,0,0,1,0,1,0,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0
农夫,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,25,22,0,0,0,0,0,0,0,0,0,0,0,0
都史,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
术赤,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,33,0,0
黎生,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,0,0,0,0,1,0,0,1,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
彭长老,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,23,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
完颜洪熙,0,0,26,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
樵子,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,10,0,0,0,0,0,0,0,0,0,0,0,0
谭处端,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,6,0
孙不二,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0
郝大通,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,3,0
博尔忽,0,0,3,2,5,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
裘千丈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1,0,3,0,1,1,0,0,0,0,0,0,0,0
曲三,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
简管家,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
枯木,0,21,1,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
张十五,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
赤老温,0,0,5,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0
博尔术,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0
童子,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
吕文德,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0
哑梢公,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0
者勒米,0,0,9,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
钱青健,0,0,0,0,0,2,8,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
梁长老,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
余兆兴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
汤祖德,0,0,0,0,0,0,0,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
天竺僧人,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0
吴青烈,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
焦木和尚,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
盖运聪,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
瘦丐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
胖丐,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
忽都虎,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
乔寨主,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
姜文,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
曲傻姑,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
